dataset,n,algoritmo,comparaciones_promedio
uniforme,10000,lineal,6542.549
uniforme,10000,binaria,24.878
uniforme,10000,exponencial,34.539
uniforme,10000,interpolacion,3.4
sesgado,10000,lineal,6532.134
sesgado,10000,binaria,21.54
sesgado,10000,exponencial,31.029
sesgado,10000,interpolacion,824.69
desordenado,10000,lineal,6519.657
uniforme,100000,lineal,64833.37
uniforme,100000,binaria,31.362
uniforme,100000,exponencial,45.025
uniforme,100000,interpolacion,3.4
sesgado,100000,lineal,64820.844
sesgado,100000,binaria,27.854
sesgado,100000,exponencial,41.502
sesgado,100000,interpolacion,1336.915
desordenado,100000,lineal,65757.54
uniforme,500000,lineal,326242.621
uniforme,500000,binaria,35.934
uniforme,500000,exponencial,51.925
uniforme,500000,interpolacion,3.4
sesgado,500000,lineal,318723.322
sesgado,500000,binaria,32.4
sesgado,500000,exponencial,48.316
sesgado,500000,interpolacion,1600.14
desordenado,500000,lineal,315129.831
