lenguaje,dataset,n,algoritmo,repeticion,ms_por_busqueda,checksum
C++,uniforme,10000,lineal,1,0.001831684,3541549
C++,uniforme,10000,binaria,1,4.753e-05,3541549
C++,uniforme,10000,exponencial,1,4.8621e-05,3541549
C++,uniforme,10000,interpolacion,1,5.588e-06,3541549
C++,uniforme,10000,binaria,2,2.9504e-05,3541549
C++,uniforme,10000,exponencial,2,3.3639e-05,3541549
C++,uniforme,10000,interpolacion,2,3.726e-06,3541549
C++,uniforme,10000,lineal,2,0.001878212,3541549
C++,uniforme,10000,exponencial,3,3.5522e-05,3541549
C++,uniforme,10000,interpolacion,3,3.525e-06,3541549
C++,uniforme,10000,lineal,3,0.002141991,3541549
C++,uniforme,10000,binaria,3,3.2467e-05,3541549
C++,sesgado,10000,lineal,1,0.001837021,3531134
C++,sesgado,10000,binaria,1,3.9599e-05,3533392
C++,sesgado,10000,exponencial,1,3.9888e-05,3533503
C++,sesgado,10000,interpolacion,1,0.00108097,3531135
C++,sesgado,10000,binaria,2,3.9288e-05,3533392
C++,sesgado,10000,exponencial,2,3.5262e-05,3533503
C++,sesgado,10000,interpolacion,2,0.001045007,3531135
C++,sesgado,10000,lineal,2,0.001810593,3531134
C++,sesgado,10000,exponencial,3,2.0971e-05,3533503
C++,sesgado,10000,interpolacion,3,0.001049573,3531135
C++,sesgado,10000,lineal,3,0.0018217,3531134
C++,sesgado,10000,binaria,3,2.4156e-05,3533392
C++,desordenado,10000,lineal,1,0.001881096,3518657
C++,desordenado,10000,lineal,2,0.001864442,3518657
C++,desordenado,10000,lineal,3,0.001889339,3518657
C++,uniforme,100000,lineal,1,0.018764337,34832370
C++,uniforme,100000,binaria,1,6.3073e-05,34832370
C++,uniforme,100000,exponencial,1,6.9171e-05,34832370
C++,uniforme,100000,interpolacion,1,5.909e-06,34832370
C++,uniforme,100000,binaria,2,4.0429e-05,34832370
C++,uniforme,100000,exponencial,2,4.751e-05,34832370
C++,uniforme,100000,interpolacion,2,2.1021e-05,34832370
C++,uniforme,100000,lineal,2,0.018558345,34832370
C++,uniforme,100000,exponencial,3,4.774e-05,34832370
C++,uniforme,100000,interpolacion,3,4.337e-06,34832370
C++,uniforme,100000,lineal,3,0.018066221,34832370
C++,uniforme,100000,binaria,3,4.2022e-05,34832370
C++,sesgado,100000,lineal,1,0.01868415,34819844
C++,sesgado,100000,binaria,1,5.9347e-05,34822040
C++,sesgado,100000,exponencial,1,6.1991e-05,34822158
C++,sesgado,100000,interpolacion,1,0.001962717,34819847
C++,sesgado,100000,binaria,2,5.4741e-05,34822040
C++,sesgado,100000,exponencial,2,5.1125e-05,34822158
C++,sesgado,100000,interpolacion,2,0.00188988,34819847
C++,sesgado,100000,lineal,2,0.018610892,34819844
C++,sesgado,100000,exponencial,3,4.1451e-05,34822158
C++,sesgado,100000,interpolacion,3,0.001963678,34819847
C++,sesgado,100000,lineal,3,0.01876559,34819844
C++,sesgado,100000,binaria,3,5.5721e-05,34822040
C++,desordenado,100000,lineal,1,0.018468913,35756540
C++,desordenado,100000,lineal,2,0.018569131,35756540
C++,desordenado,100000,lineal,3,0.020175323,35756540
C++,uniforme,500000,lineal,1,0.090812474,176241621
C++,uniforme,500000,binaria,1,8.829e-05,176241621
C++,uniforme,500000,exponencial,1,9.0633e-05,176241621
C++,uniforme,500000,interpolacion,1,5.689e-06,176241621
C++,uniforme,500000,binaria,2,5.5101e-05,176241621
C++,uniforme,500000,exponencial,2,6.6778e-05,176241621
C++,uniforme,500000,interpolacion,2,4.787e-06,176241621
C++,uniforme,500000,lineal,2,0.091253623,176241621
C++,uniforme,500000,exponencial,3,9.1545e-05,176241621
C++,uniforme,500000,interpolacion,3,4.907e-06,176241621
C++,uniforme,500000,lineal,3,0.091398866,176241621
C++,uniforme,500000,binaria,3,7.7865e-05,176241621
C++,sesgado,500000,lineal,1,0.094103875,168722322
C++,sesgado,500000,binaria,1,7.9898e-05,168724567
C++,sesgado,500000,exponencial,1,8.3663e-05,168724535
C++,sesgado,500000,interpolacion,1,0.003109934,168722325
C++,sesgado,500000,binaria,2,5.1025e-05,168724567
C++,sesgado,500000,exponencial,2,6.108e-05,168724535
C++,sesgado,500000,interpolacion,2,0.003122022,168722325
C++,sesgado,500000,lineal,2,0.092377225,168722322
C++,sesgado,500000,exponencial,3,8.6777e-05,168724535
C++,sesgado,500000,interpolacion,3,0.003486689,168722325
C++,sesgado,500000,lineal,3,0.094443544,168722322
C++,sesgado,500000,binaria,3,8.4524e-05,168724567
C++,desordenado,500000,lineal,1,0.094115122,165128831
C++,desordenado,500000,lineal,2,0.090895517,165128831
C++,desordenado,500000,lineal,3,0.090193083,165128831
