lenguaje,dataset,n,algoritmo,repeticion,ms_por_busqueda,checksum
Python,uniforme,10000,lineal,1,0.18313996800009136,3541549
Python,uniforme,10000,binaria,1,0.0012840189999678842,3541549
Python,uniforme,10000,exponencial,1,0.0018152000000100088,3541549
Python,uniforme,10000,interpolacion,1,0.0002328529999431339,3541549
Python,uniforme,10000,binaria,2,0.0012761379999801648,3541549
Python,uniforme,10000,exponencial,2,0.0017546110000239423,3541549
Python,uniforme,10000,interpolacion,2,0.00025863000007575465,3541549
Python,uniforme,10000,lineal,2,0.17903932700005498,3541549
Python,uniforme,10000,exponencial,3,0.001864343000079316,3541549
Python,uniforme,10000,interpolacion,3,0.0005012469999883251,3541549
Python,uniforme,10000,lineal,3,0.18236574000002292,3541549
Python,uniforme,10000,binaria,3,0.0013544030000502971,3541549
Python,sesgado,10000,lineal,1,0.17532356999993226,3531134
Python,sesgado,10000,binaria,1,0.0011086410000871183,3533392
Python,sesgado,10000,exponencial,1,0.0015386530000114362,3533503
Python,sesgado,10000,interpolacion,1,0.036271489000000656,3531135
Python,sesgado,10000,binaria,2,0.0013683329999594207,3533392
Python,sesgado,10000,exponencial,2,0.0016919490000191217,3533503
Python,sesgado,10000,interpolacion,2,0.031058089999987715,3531135
Python,sesgado,10000,lineal,2,0.1758930580000424,3531134
Python,sesgado,10000,exponencial,3,0.0016482050000377058,3533503
Python,sesgado,10000,interpolacion,3,0.03998923899996498,3531135
Python,sesgado,10000,lineal,3,0.22378959800005305,3531134
Python,sesgado,10000,binaria,3,0.0016396620000023177,3533392
Python,desordenado,10000,lineal,1,0.21887134900009642,3518657
Python,desordenado,10000,lineal,2,0.22916239699998187,3518657
Python,desordenado,10000,lineal,3,0.20415073699996356,3518657
Python,uniforme,100000,lineal,1,1.7918377699999155,34832370
Python,uniforme,100000,binaria,1,0.001898482999990847,34832370
Python,uniforme,100000,exponencial,1,0.0025113550000241958,34832370
Python,uniforme,100000,interpolacion,1,0.0003204409999852942,34832370
Python,uniforme,100000,binaria,2,0.0017691030000150931,34832370
Python,uniforme,100000,exponencial,2,0.0026981099999829894,34832370
Python,uniforme,100000,interpolacion,2,0.0002534830000513466,34832370
Python,uniforme,100000,lineal,2,1.8437716949999867,34832370
Python,uniforme,100000,exponencial,3,0.0023713880000286736,34832370
Python,uniforme,100000,interpolacion,3,0.00026622200005022023,34832370
Python,uniforme,100000,lineal,3,1.7943520320000061,34832370
Python,uniforme,100000,binaria,3,0.002204723999966518,34832370
Python,sesgado,100000,lineal,1,1.902540455999997,34819844
Python,sesgado,100000,binaria,1,0.0016406630001029043,34822040
Python,sesgado,100000,exponencial,1,0.002704958999970586,34822158
Python,sesgado,100000,interpolacion,1,0.05656864899992797,34819847
Python,sesgado,100000,binaria,2,0.0017579760000216993,34822040
Python,sesgado,100000,exponencial,2,0.003302727999994204,34822158
Python,sesgado,100000,interpolacion,2,0.054413578999970014,34819847
Python,sesgado,100000,lineal,2,1.8380847299999914,34819844
Python,sesgado,100000,exponencial,3,0.0022283590000142794,34822158
Python,sesgado,100000,interpolacion,3,0.05680010999992646,34819847
Python,sesgado,100000,lineal,3,1.7739312680000694,34819844
Python,sesgado,100000,binaria,3,0.0016244999999344145,34822040
Python,desordenado,100000,lineal,1,1.8283178570000018,35756540
Python,desordenado,100000,lineal,2,1.7952589139999873,35756540
Python,desordenado,100000,lineal,3,1.8582862460000342,35756540
Python,uniforme,500000,lineal,1,9.281100728999945,176241621
Python,uniforme,500000,binaria,1,0.0043147169999429025,176241621
Python,uniforme,500000,exponencial,1,0.0037893549999807874,176241621
Python,uniforme,500000,interpolacion,1,0.00031493400001636473,176241621
Python,uniforme,500000,binaria,2,0.0028773730000466458,176241621
Python,uniforme,500000,exponencial,2,0.0035106639999185063,176241621
Python,uniforme,500000,interpolacion,2,0.00029988100004629814,176241621
Python,uniforme,500000,lineal,2,8.890181260000078,176241621
Python,uniforme,500000,exponencial,3,0.003515450999998393,176241621
Python,uniforme,500000,interpolacion,3,0.000259952000078556,176241621
Python,uniforme,500000,lineal,3,8.996150240000022,176241621
Python,uniforme,500000,binaria,3,0.0026638780000212137,176241621
Python,sesgado,500000,lineal,1,9.475395273000004,168722322
Python,sesgado,500000,binaria,1,0.0023765570001614833,168724567
Python,sesgado,500000,exponencial,1,0.0034483620001992676,168724535
Python,sesgado,500000,interpolacion,1,0.08687718100009079,168722325
Python,sesgado,500000,binaria,2,0.0023496860001159803,168724567
Python,sesgado,500000,exponencial,2,0.00297104100013712,168724535
Python,sesgado,500000,interpolacion,2,0.09082977499997469,168722325
Python,sesgado,500000,lineal,2,9.380035718999807,168722322
Python,sesgado,500000,exponencial,3,0.005004701999951067,168724535
Python,sesgado,500000,interpolacion,3,0.11096266300000934,168722325
Python,sesgado,500000,lineal,3,9.472167999000021,168722322
Python,sesgado,500000,binaria,3,0.0031393579999985377,168724567
Python,desordenado,500000,lineal,1,8.716561490999993,165128831
Python,desordenado,500000,lineal,2,8.71382948900009,165128831
Python,desordenado,500000,lineal,3,8.74798520599984,165128831
