lenguaje,algoritmo,dataset,n,ms_por_busqueda,sd_ms,repeticiones,hits,misses,consultas
C++,lineal,uniforme,10000,0.001950629,0.000167349260467,3,700,300,1000
C++,binaria,uniforme,10000,3.65003333333e-05,9.66617826927e-06,3,700,300,1000
C++,exponencial,uniforme,10000,3.92606666667e-05,8.16077829213e-06,3,700,300,1000
C++,interpolacion,uniforme,10000,4.27966666667e-06,1.13749827839e-06,3,700,300,1000
C++,lineal,sesgado,10000,0.00182310466667,1.32698761235e-05,3,700,300,1000
C++,binaria,sesgado,10000,3.43476666667e-05,8.82761192698e-06,3,700,300,1000
C++,exponencial,sesgado,10000,3.20403333333e-05,9.86141847471e-06,3,700,300,1000
C++,interpolacion,sesgado,10000,0.00105851666667,1.95787186081e-05,3,700,300,1000
C++,lineal,desordenado,10000,0.00187829233333,1.26830817364e-05,3,700,300,1000
C++,lineal,uniforme,100000,0.0184629676667,0.00035869780338,3,700,300,1000
C++,binaria,uniforme,100000,4.8508e-05,1.26387828132e-05,3,700,300,1000
C++,exponencial,uniforme,100000,5.4807e-05,1.24401204576e-05,3,700,300,1000
C++,interpolacion,uniforme,100000,1.04223333333e-05,9.21230684103e-06,3,700,300,1000
C++,lineal,sesgado,100000,0.0186868773333,7.73850538627e-05,3,700,300,1000
C++,binaria,sesgado,100000,5.6603e-05,2.42636600702e-06,3,700,300,1000
C++,exponencial,sesgado,100000,5.15223333333e-05,1.02757630049e-05,3,700,300,1000
C++,interpolacion,sesgado,100000,0.00193875833333,4.23326054281e-05,3,700,300,1000
C++,lineal,desordenado,100000,0.0190711223333,0.000957577801581,3,700,300,1000
C++,lineal,uniforme,500000,0.0911549876667,0.000305385970785,3,700,300,1000
C++,binaria,uniforme,500000,7.3752e-05,1.69724779275e-05,3,700,300,1000
C++,exponencial,uniforme,500000,8.29853333333e-05,1.40433676991e-05,3,700,300,1000
C++,interpolacion,uniforme,500000,5.12766666667e-06,4.89817653146e-07,3,700,300,1000
C++,lineal,sesgado,500000,0.093641548,0.00110802899043,3,700,300,1000
C++,binaria,sesgado,500000,7.18156666667e-05,1.81532045197e-05,3,700,300,1000
C++,exponencial,sesgado,500000,7.71733333333e-05,1.402393605e-05,3,700,300,1000
C++,interpolacion,sesgado,500000,0.00323954833333,0.000214115416952,3,700,300,1000
C++,lineal,desordenado,500000,0.091734574,0.00209131775833,3,700,300,1000
